,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
1485,DELHAIZE,Belgium,Food & Drug Retailers,36.0,-49.3,-5.8,0.2,22461.0,-0.7,2.5,486.0,-17.5,-9.7,2.2,462.0,19.1,-23.3,2.1,160883,1.9,   
1486,CONSTELLIUM,The Netherlands,Industrial Metals & Mining,36.0,0.0,   ,1.0,3495.0,-3.2,   ,144.0,14.3,   ,4.1,220.0,11.1,   ,6.3,8600,-2.8,   
1487,GUERBET,France,Pharmaceuticals & Biotechnology,35.9,-4.9,2.3,9.2,389.7,-3.4,3.4,30.1,1.5,-8.0,7.7,30.7,-14.3,29.0,7.9,1395,1.5,2.0
1488,MARUBENI,Japan,Industrial Engineering,35.9,46.7,32.7,0.1,54414.0,19.9,14.7,,   ,   ,0.0,-115.5,-13.6,62.7,-0.2,4289,3.0,2.2
1489,SVENSKA HANDELSBANKEN,Sweden,Banks,35.8,-4.8,47.4,0.9,4100.5,3.6,5.1,,   ,   ,0.0,2041.8,5.7,7.0,49.8,11503,2.8,2.0
1490,GENUS,UK,Pharmaceuticals & Biotechnology,35.7,-2.0,8.8,8.7,412.3,1.0,6.6,8.0,-8.2,2.1,1.9,44.2,-32.1,-7.7,10.7,2142,-2.1,0.8
1491,WACKER NEUSON,Germany,Industrial Engineering,35.7,4.5,10.1,3.1,1159.5,6.2,15.2,71.8,-23.6,-1.7,6.2,99.3,16.1,39.2,8.6,4157,5.0,9.8
1492,BRASKEM,Brazil,Chemicals,35.7,9.1,13.7,0.3,12621.0,15.4,17.1,1742.5,102.5,49.6,13.8,844.1,75.1,-5.2,6.7,,   ,-100.0
1493,BEIJING SIFANG AUTOMATION,China,Electronic & Electrical Equipment,35.7,27.8,30.4,10.0,356.6,30.3,32.0,15.1,-28.4,73.9,4.2,34.7,3.9,27.5,9.7,3461,7.3,22.6
1494,SAWAI PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,35.6,13.6,9.8,5.8,618.5,11.6,12.0,48.3,75.4,47.0,7.8,131.5,9.8,12.0,21.3,1121,6.8,7.1
1495,ALPHA NETWORKS,Taiwan,Technology Hardware & Equipment,35.6,2.6,-2.6,6.1,581.8,-3.2,-2.3,7.1,-54.8,-36.2,1.2,21.0,-27.8,-16.1,3.6,,-100.0,-100.0
1496,NAGASE,Japan,Chemicals,35.6,12.0,13.7,0.7,4980.1,8.5,3.1,69.8,-4.0,21.1,1.4,99.7,5.8,-8.2,2.0,5960,1.1,8.3
1497,DAIDO STEEL,Japan,Industrial Metals & Mining,35.5,13.2,6.7,1.1,3152.0,3.9,-1.0,218.6,31.2,40.1,6.9,129.9,22.3,-16.7,4.1,10709,2.5,1.4
1498,CYTEC INDUSTRIES,US,Chemicals,35.5,-6.5,-12.2,2.5,1403.1,13.3,16.5,217.5,106.5,54.4,15.5,229.4,106.2,38.9,16.3,4400,-33.3,-9.8
1499,JOY GLOBAL,US,Mining,35.5,2.5,18.0,1.0,3634.8,-11.5,12.5,111.2,-36.5,27.8,3.1,600.3,-29.4,5.9,16.5,16600,-7.9,11.7
1500,BROOKS AUTOMATION,US,Industrial Engineering,35.5,3.2,16.3,10.9,327.0,-13.2,-8.7,2.6,-58.0,-5.9,0.8,-1.2,-106.7,  ,-0.4,1656,7.0,-0.8
1501,WAGO,Germany,Electronic & Electrical Equipment,35.5,21.5,13.9,6.3,561.0,1.1,15.0,,   ,   ,0.0,42.0,-33.6,27.4,7.5,5075,5.2,7.7
1502,STELLA INTERNATIONAL,Cayman Islands,Personal Goods,35.3,-1.6,7.1,3.2,1117.7,-0.6,6.0,59.5,54.1,40.8,5.3,95.2,-19.1,1.3,8.5,77000,0.0,6.4
1503,STERIS,US,Health Care Equipment & Services,35.3,17.8,12.4,3.0,1176.3,8.0,10.3,62.6,-1.2,3.7,5.3,160.4,-8.8,27.6,13.6,6000,0.0,6.3
1504,COHU,US,Technology Hardware & Equipment,35.2,34.4,10.3,19.7,179.3,11.8,-8.5,2.8,19.6,-5.1,1.6,-26.0,154.2,  ,-14.5,1400,-6.7,8.4
1505,MEDIVATION,US,Pharmaceuticals & Biotechnology,35.2,   ,70.9,17.8,197.9,50.2,63.4,5.5,-46.1,236.9,2.8,-16.1,-15.2,-12.1,-8.1,370,44.0,59.0
1506,LCH CLEARNET,UK,Financial Services,35.2,8.0,-22.2,8.4,421.1,0.8,6.9,,   ,   ,0.0,54.7,-40.1,19.2,13.0,804,4.8,4.1
1507,INVENSENSE,US,Technology Hardware & Equipment,35.1,96.5,45.2,19.2,183.1,21.0,37.8,12.5,239.0,99.2,6.8,18.2,-55.8,5.2,9.9,476,46.0,33.7
1508,DIODES,US,Electronic & Electrical Equipment,35.0,43.1,22.0,5.8,599.6,30.5,10.5,34.1,-19.1,-19.1,5.7,33.3,84.3,-24.1,5.6,6151,33.6,24.2
1509,COFIDE,Italy,General Industrials,35.0,-43.6,5.0,0.7,4752.0,-6.1,-0.4,152.2,-25.7,-38.6,3.2,-605.4,-927.9,  ,-12.7,14114,1.2,2.9
1510,WINTEK,Taiwan,Technology Hardware & Equipment,35.0,-3.8,16.9,1.9,1844.0,-25.2,6.1,62.9,-80.6,-38.0,3.4,-157.4,397.0,  ,-8.5,,-100.0,-100.0
1511,HINDALCO INDUSTRIES,India,Industrial Metals & Mining,35.0,8.5,16.7,0.3,10218.6,9.4,6.7,1104.0,-20.6,6.0,10.8,569.4,-3.9,-5.1,5.6,20902,3.3,2.6
1512,TASLY PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,34.9,68.8,53.1,2.7,1295.1,18.2,33.4,78.8,19.6,58.7,6.1,190.5,30.8,38.8,14.7,8801,32.5,32.5
1513,WUSTENROT & WURTTEMBERGISCHE,Germany,Banks,34.9,-28.5,-19.6,2.4,1426.7,-1.5,2.1,,   ,   ,0.0,184.6,-36.5,-6.6,12.9,8005,-3.9,184.9
1514,ACXIOM,US,Software & Computer Services,34.9,52.2,43.9,4.4,795.8,-0.2,-0.5,46.3,9.3,0.1,5.8,51.0,-33.4,33.4,6.4,5555,-11.8,-5.6
1515,COGNEX,US,Electronic & Electrical Equipment,34.9,15.7,13.3,13.6,256.6,9.1,6.8,9.7,35.5,31.7,3.8,62.6,3.6,4.5,24.4,1077,9.5,9.3
1516,NORDSON,US,Industrial Engineering,34.8,31.3,26.3,3.1,1118.8,9.5,14.0,34.2,52.5,48.9,3.1,235.6,-3.9,11.1,21.1,5801,8.2,16.4
1517,MELEXIS,Belgium,Technology Hardware & Equipment,34.7,6.7,11.7,12.6,275.4,11.5,7.9,22.5,8.6,13.6,8.2,63.7,14.1,4.2,23.1,836,5.3,7.6
1518,GUANGXI LIUGONG MACHINERY,China,General Industrials,34.7,-43.3,   ,2.3,1479.1,-0.9,-6.5,24.3,-59.9,-39.2,1.6,92.8,68.8,-24.7,6.3,12269,-7.9,-0.2
1519,GOTHAER,Germany,Life Insurance,34.7,388.7,24.7,1.0,3595.7,3.1,3.1,,   ,   ,0.0,-991.2,15.5,8.6,-27.6,,-100.0,-100.0
1520,WE MADE ENTERTAINMENT,South Korea,Software & Computer Services,34.7,44.0,46.8,22.2,156.3,89.7,21.9,15.2,-62.9,32.0,9.7,8.5,-725.5,-28.3,5.4,,   ,   
1521,HAN'S LASER TECHNOLOGY,China,Industrial Engineering,34.7,28.3,22.5,7.2,480.7,-1.0,11.4,22.5,-28.7,-23.7,4.7,42.3,-49.0,-2.4,8.8,8221,2.9,5.8
1522,OSI SYSTEMS,US,Electronic & Electrical Equipment,34.7,-5.6,0.8,5.3,657.5,13.1,11.4,43.9,-62.6,50.6,6.7,67.7,13.2,22.2,10.3,5607,7.8,14.9
1523,PIRAMAL ENTERPRISES,India,Pharmaceuticals & Biotechnology,34.6,3.1,60.4,6.6,523.0,27.7,40.0,42.2,17.7,19.5,8.1,53.4,94.6,39.9,10.2,,   ,-100.0
1524,CHINA SINOMA INTERNATIONAL ENGINEERING,China,Construction & Materials,34.6,-23.4,-7.9,1.4,2435.3,-1.8,-4.7,50.5,83.4,5.4,2.1,135.0,-22.4,-15.2,5.5,10369,-8.1,1.3
1525,RADIANT OPTO ELECTRONICS,Taiwan,Electronic & Electrical Equipment,34.6,33.5,28.5,2.3,1533.7,-16.6,9.6,9.2,-54.6,-33.0,0.6,151.5,-5.7,24.2,9.9,,-100.0,-100.0
1526,AEROPORTS DE PARIS,France,Industrial Transportation,34.6,27.1,6.6,1.3,2754.5,4.3,3.6,421.8,-31.4,-5.3,15.3,709.9,-0.2,5.5,25.8,9026,-0.1,-1.9
1527,YINGLI GREEN ENERGY,Cayman Islands,Electronic & Electrical Equipment,34.6,58.3,31.8,2.2,1594.4,17.8,2.4,141.5,-39.0,-27.1,8.9,-75.5,-74.1,  ,-4.7,19306,7.1,19.1
1528,MAKINO MILLING MACHINE,Japan,Industrial Engineering,34.6,3.4,1.6,4.1,853.2,-2.3,9.2,81.8,84.2,72.6,9.6,33.8,-39.3,20.0,4.0,4178,-0.7,2.9
1529,UNIBET,Malta,Travel & Leisure,34.5,2.1,33.7,12.3,280.3,19.1,16.8,4.3,-19.8,40.6,1.5,53.8,31.3,8.3,19.2,882,23.4,21.7
1530,QINETIQ,UK,Support Services,34.5,16.1,29.5,2.4,1422.7,-10.3,-11.2,28.9,-10.7,7.1,2.0,30.0,-120.5,-23.0,2.1,8937,-5.9,-7.3
1531,XOMA,US,Pharmaceuticals & Biotechnology,34.4,25.7,-6.5,134.0,25.7,4.9,1.8,0.8,-53.4,51.1,3.3,-42.0,12.3,-4.8,-163.3,168,1.2,-9.9
1532,MORINAGA MILK INDUSTRY,Japan,Food Producers,34.4,1.5,0.8,0.8,4126.7,1.4,0.9,112.6,2.3,0.9,2.7,75.7,12.5,-16.5,1.8,5664,-0.8,0.2
1533,ULVAC,Japan,Industrial Engineering,34.4,-29.6,-14.6,3.1,1124.9,-17.0,-9.7,39.9,-52.4,-13.0,3.5,42.1,-184.8,17.1,3.7,6579,-5.8,-2.8
1534,FORGAME,Cayman Islands,Software & Computer Services,34.3,44.7,83.3,24.4,140.6,52.3,131.7,4.0,72.7,26.2,2.9,-49.2,-256.6,117.2,-35.0,1980,   ,   
1535,NIPPON LIGHT METAL,Japan,Industrial Metals & Mining,34.3,-1.6,-2.2,1.2,2773.9,8.3,-2.1,96.2,-23.6,1.3,3.5,86.9,84.6,-20.0,3.1,10438,0.4,2.3
1536,TOKYO SEIMITSU,Japan,Technology Hardware & Equipment,34.3,17.0,16.0,9.0,380.6,8.3,3.6,11.1,-16.4,109.4,2.9,58.3,12.8,8.2,15.3,1393,9.3,9.6
1537,AFFYMETRIX,US,Pharmaceuticals & Biotechnology,34.3,-18.2,-11.9,14.3,239.6,11.8,3.5,4.0,-47.3,-15.3,1.7,-5.3,-80.5,12.0,-2.2,1100,0.0,6.2
1538,PINAFORE,The Netherlands,Support Services,34.2,-23.9,26.9,1.6,2137.1,-7.2,30.4,,   ,   ,0.0,217.5,59.9,  ,10.2,14930,-33.8,-19.1
1539,NOVATEL WIRELESS,US,Technology Hardware & Equipment,34.2,-20.8,-1.4,14.1,243.0,-2.7,-0.4,3.6,7.0,-22.8,1.5,-18.6,-71.1,0.8,-7.6,316,-31.2,-13.5
1540,ANSALDO STS,Italy,Industrial Transportation,34.2,4.4,-0.7,2.7,1256.4,0.7,-0.7,10.1,-3.5,14.5,0.8,121.5,-2.2,-5.4,9.7,4128,3.4,-0.7
1541,BARRACUDA NETWORKS,US,Software & Computer Services,34.2,34.1,25.3,20.2,169.5,17.5,18.0,5.5,61.9,40.4,3.3,-8.0,-11.5,  ,-4.7,1122,   ,   
1542,NOVAVAX,US,Pharmaceuticals & Biotechnology,34.2,91.0,18.9,225.2,15.2,-5.3,293.6,4.2,33.3,54.9,27.7,-38.0,76.8,10.9,-250.7,,-100.0,-100.0
1543,SHERWIN WILLIAMS,US,General Industrials,34.1,5.4,5.7,0.5,7385.6,6.8,9.4,120.9,6.1,10.0,1.6,839.0,22.6,16.0,11.4,37633,10.2,5.3
1544,SAFT,France,Electronic & Electrical Equipment,34.1,1.5,7.8,5.5,624.2,4.4,1.8,42.0,-5.8,-15.5,6.7,60.0,-11.5,-8.6,9.6,3856,-5.2,-2.0
1545,COUPONS,US,Software & Computer Services,34.0,-17.0,67.3,27.9,121.7,49.7,39.8,10.5,13.7,   ,8.6,-7.5,-82.6,9.7,-6.1,469,-1.1,   
1546,GLU MOBILE,US,Software & Computer Services,34.0,-13.6,23.0,44.4,76.6,-2.4,16.5,2.2,-57.6,61.2,2.8,-15.5,2.8,39.7,-20.2,545,-3.9,12.4
1547,KOBAYASHI PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,33.9,8.5,6.6,3.9,876.6,4.7,-0.9,19.9,14.8,15.6,2.3,123.3,7.9,-0.1,14.1,2364,7.3,-0.4
1548,STEPAN,US,Chemicals,33.9,67.2,24.6,2.5,1363.8,4.3,9.5,67.3,11.7,3.3,4.9,79.9,-14.4,0.7,5.9,2015,4.9,4.5
1549,GS ENGINEERING & CONSTRUCTION,South Korea,Construction & Materials,33.9,-11.4,-10.6,0.5,6572.1,0.0,4.7,134.8,180.5,3.8,2.1,-642.7,-631.3,  ,-9.8,,   ,   
1550,SOLAZYME,US,Oil & Gas Producers,33.9,20.8,60.8,117.7,28.8,-9.9,1.5,7.4,-18.6,59.8,25.7,-69.7,13.0,91.6,-241.9,271,18.3,   
1551,COSTAR,US,Software & Computer Services,33.9,42.7,39.2,10.6,319.7,26.0,24.9,13.8,28.4,-30.8,4.3,39.3,55.4,33.5,12.3,2046,4.1,13.8
1552,ACHILLION PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,33.9,19.8,31.6,   ,,-100.0,-100.0,0.3,-37.8,34.1,   ,-43.1,25.8,33.0,   ,62,8.8,12.1
1553,ENIRO,Sweden,Media,33.9,-11.0,11.7,8.2,413.1,-8.5,-11.8,2.8,92.3,-17.2,0.7,60.3,11.0,  ,14.6,2996,-12.1,-12.3
1554,SCOTTS MIRACLE-GRO,US,Chemicals,33.9,-8.1,-0.4,1.7,2042.3,-0.3,-0.7,43.6,-13.4,-10.3,2.1,227.4,29.1,-5.7,11.1,6200,1.6,-2.8
1555,FOSHAN HAITIAN,China,Food Producers,33.8,17.0,12.3,3.4,982.3,17.8,14.5,120.4,   ,   ,12.3,223.5,27.9,26.2,22.8,3942,   ,   
1556,SPECTRUM PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,33.8,9.7,-6.6,29.9,113.0,-41.8,28.1,0.1,-99.4,-53.3,0.1,-26.4,-143.5,-10.7,-23.3,226,17.1,17.6
1557,JAZZ PHARMACEUTICALS,Ireland,Pharmaceuticals & Biotechnology,33.8,127.7,22.1,5.3,632.6,48.9,71.2,7.2,66.9,139.0,1.1,246.8,72.0,80.6,39.0,810,32.8,49.6
1558,TKH,The Netherlands,Electronic & Electrical Equipment,33.8,71.2,56.4,2.8,1197.8,8.7,10.3,21.2,-19.9,0.4,1.8,67.4,36.3,3.0,5.6,4802,1.4,9.0
1559,TELIASONERA,Sweden,Fixed Line Telecommunications,33.8,-17.4,-33.6,0.3,11479.8,-3.0,-1.6,1662.3,-2.7,0.4,14.5,2821.5,-11.4,-7.0,24.6,25321,-5.5,-2.9
1560,SEQUENOM,US,Health Care Equipment & Services,33.7,-7.9,2.3,28.6,117.8,81.1,50.7,9.2,-16.5,49.1,7.8,-67.0,-18.1,12.1,-56.9,570,-4.0,34.0
1561,COTY,US,Personal Goods,33.7,4.3,8.2,1.0,3300.4,-2.1,3.7,146.1,3.9,34.5,4.4,113.3,-68.2,-22.2,3.4,9000,-10.0,   
1562,SILICON MOTION TECHNOLOGY,Cayman Islands,Technology Hardware & Equipment,33.7,-8.9,9.8,20.6,163.4,-19.9,16.2,9.3,198.4,39.4,5.7,25.6,-33.0,79.0,15.7,731,6.3,7.6
1563,RENESOLA,UK,Electronic & Electrical Equipment,33.7,5.3,8.6,3.1,1101.9,56.8,8.0,65.4,-33.9,-14.6,5.9,-160.6,23.7,  ,-14.6,7595,-10.0,-1.2
1564,STATS CHIPPAC,Singapore,Technology Hardware & Equipment,33.7,-10.2,-0.7,2.9,1159.1,-6.1,-1.6,296.0,5.5,13.0,25.5,39.9,-50.6,-33.6,3.4,,   ,   
1565,AXWAY SOFTWARE,France,Software & Computer Services,33.6,3.5,1.0,14.2,237.5,5.9,4.5,3.0,-51.5,1.5,1.3,29.4,-5.8,3.0,12.4,1783,0.5,2.4
1566,SEIREN,Japan,Personal Goods,33.6,6.8,3.0,5.0,674.7,8.4,4.3,38.7,94.1,39.2,5.7,40.3,51.9,15.7,6.0,5501,10.8,5.6
1567,EFFEM HOLDINGS,UK,Food Producers,33.6,-25.1,19.3,1.0,3240.3,1.0,1.6,,   ,   ,0.0,443.2,7.7,2.7,13.7,5034,5.5,5.3
1568,WESTINGHOUSE AIR BRAKE TECHNOLOGIES,US,Industrial Engineering,33.6,12.1,4.8,1.8,1860.9,7.3,19.4,29.9,14.5,25.5,1.6,317.1,11.5,29.2,17.0,10234,10.6,15.4
1569,EDWARDS HOLDCO,UK,Industrial Engineering,33.6,26.6,7.3,4.1,828.0,-1.0,23.2,,   ,   ,0.0,141.0,15.4,  ,17.0,3325,3.0,4.2
1570,GUANGZHOU PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,33.5,226.0,61.2,1.6,2057.4,46.7,57.8,41.6,106.1,62.2,2.0,111.7,41.7,40.8,5.4,11284,87.0,27.3
1571,CHINA ERZHONG DEYANG,China,Industrial Engineering,33.5,26.0,118.6,5.8,572.3,23.5,-10.1,35.3,-62.9,-44.6,6.2,-213.1,-3.0,  ,-37.2,11563,-1.4,0.2
1572,VECTURA,UK,Pharmaceuticals & Biotechnology,33.4,-9.4,-5.1,76.7,43.6,19.7,-5.2,2.7,-42.5,15.3,6.3,-4.4,-68.4,-33.4,-10.1,215,-0.5,-5.7
1573,BEMIS,US,General Industrials,33.4,10.6,10.3,0.9,3647.2,-2.1,1.3,101.4,2.5,7.3,2.8,306.6,1.1,1.9,8.4,19100,-2.4,-1.2
1574,ONCONOVA THERAPEUTICS,US,Pharmaceuticals & Biotechnology,33.3,-6.7,   ,967.4,3.4,-89.7,   ,0.4,118.3,   ,12.8,-45.1,179.3,   ,-1309.1,64,   ,   
1575,YOUKU TUDOU,Cayman Islands,Software & Computer Services,33.3,65.5,113.2,9.2,362.8,73.6,104.3,17.3,64.4,   ,4.8,-81.4,49.2,68.8,-22.4,792,-62.4,34.6
1576,MSA SAFETY,US,Health Care Equipment & Services,33.3,12.1,11.8,4.1,806.4,0.1,4.4,26.5,13.4,13.4,3.3,101.7,6.6,23.5,12.6,5000,-5.7,-1.3
1577,NEOPHOTONICS,US,Technology Hardware & Equipment,33.2,19.8,29.8,16.2,204.7,15.0,16.7,14.2,53.6,7.5,6.9,-19.9,78.6,  ,-9.7,2094,   ,-12.4
1578,U BLOX,Switzerland,Electronic & Electrical Equipment,33.2,46.7,35.5,18.5,178.8,27.0,24.9,8.9,151.8,44.1,5.0,24.4,29.7,16.4,13.7,447,17.9,31.9
1579,TIMKEN,US,Industrial Engineering,33.1,-11.8,-3.4,1.1,3147.9,-12.9,2.3,236.2,9.6,41.2,7.5,341.2,-35.0,1.2,10.8,19000,-5.0,-1.4
1580,KOREA GAS,South Korea,"Gas, Water & Multi-utilities",33.1,0.0,11.1,0.1,26150.9,8.7,18.6,3014.5,1.7,35.1,11.5,1022.5,17.5,13.9,3.9,,   ,   
1581,COMPUGROUP MEDICAL,Germany,Software & Computer Services,33.1,-25.7,3.0,7.2,459.6,2.0,13.7,7.5,   ,   ,1.6,56.8,-16.8,19.6,12.3,3789,7.7,10.6
1582,ELMOS SEMICONDUCTOR,Germany,Technology Hardware & Equipment,33.0,-3.4,3.6,17.4,189.1,5.0,0.8,13.8,26.4,11.9,7.3,11.9,0.9,-20.3,6.3,1060,2.5,2.3
1583,THK,Japan,Industrial Engineering,32.9,9.0,3.3,2.6,1277.1,10.2,-0.9,74.3,-29.3,21.3,5.8,119.6,48.5,-7.4,9.4,9177,2.4,4.6
1584,BANCO POPULAR ESPANOL,Spain,Banks,32.9,90.7,   ,0.8,3888.8,3.7,3.4,,   ,   ,0.0,459.4,-113.2,-18.0,11.8,16027,-2.9,4.0
1585,NUFLARE TECHNOLOGY,Japan,Technology Hardware & Equipment,32.8,52.7,34.3,10.8,302.9,22.0,13.1,,   ,   ,0.0,119.7,16.9,81.8,39.5,517,11.9,7.6
1586,STONERIDGE,US,Automobiles & Parts,32.8,1.0,6.4,4.8,687.3,1.0,14.3,18.4,-3.8,10.9,2.7,29.1,31.2,19.0,4.2,9300,6.9,11.0
1587,CYBERONICS,US,Health Care Equipment & Services,32.8,11.2,17.3,16.0,204.5,10.9,14.0,13.8,33.2,37.2,6.8,63.4,17.7,21.1,31.0,639,10.0,9.7
1588,CHUGOKU ELECTRIC POWER,Japan,Electricity,32.8,-15.2,-9.3,0.4,8649.4,4.7,4.7,943.1,5.1,-7.3,10.9,61.9,-324.5,-43.0,0.7,14216,-0.2,0.0
1589,LUMINEX,US,Pharmaceuticals & Biotechnology,32.7,10.5,18.8,21.1,154.8,5.4,14.7,13.8,67.4,13.7,8.9,5.2,-68.4,-13.9,3.4,731,3.1,12.1
1590,NOVA CHEMICALS,Canada,Chemicals,32.6,9.8,4.0,0.9,3665.4,-3.9,7.7,,   ,   ,0.0,622.9,-15.5,256.2,17.0,,   ,   
1591,LEIDOS,US,Software & Computer Services,32.6,-29.7,-7.9,0.8,4185.3,-10.8,-18.8,38.4,35.9,-10.1,0.9,166.1,-47.2,-37.3,4.0,22000,-45.0,-20.3
1592,INTERCONTINENTALEXCHANGE GROUP,US,Financial Services,32.6,27.0,20.2,2.7,1213.8,25.7,13.9,131.2,166.9,55.9,10.8,692.5,12.8,13.0,57.0,4232,292.9,65.5
1593,RADISYS,US,Technology Hardware & Equipment,32.6,-5.7,5.2,18.9,172.5,-16.9,-5.8,4.4,-47.2,-8.2,2.5,-19.8,-31.5,  ,-11.5,984,0.8,16.7
1594,GUANGZHOU HAIGE COMMUNICATIONS,China,Technology Hardware & Equipment,32.6,25.5,23.9,16.6,196.5,39.5,20.8,41.2,80.4,118.6,20.9,33.3,74.5,17.8,16.9,2593,16.3,19.8
1595,STYROLUTION HOLDING,Germany,General Industrials,32.6,986.7,   ,0.5,5989.5,   ,   ,,   ,   ,0.0,136.9,   ,   ,2.3,,   ,   
1596,PANGANG,China,Industrial Metals & Mining,32.6,8.1,-1.5,1.9,1740.6,-1.3,-29.0,174.8,-42.5,-25.7,10.0,165.9,-23.3,-6.2,9.5,18378,13.3,-37.3
1597,GLEN ELECTRIC,UK,Household Goods & Home Construction,32.6,6.5,9.6,3.4,972.0,-3.5,-0.4,,   ,   ,0.0,74.7,-7.1,-4.9,7.7,5034,-2.4,-0.8
1598,BHARAT HEAVY ELECTRICALS,India,Industrial Engineering,32.5,-1.3,-4.1,0.7,4551.0,-18.7,-2.3,187.9,-8.6,-9.8,4.1,721.6,-40.9,-17.8,15.9,47525,-1.8,0.6
1599,EMS CHEMIE,Switzerland,Chemicals,32.5,11.4,3.6,2.1,1533.3,7.4,5.7,46.7,29.9,5.4,3.0,299.2,14.5,9.3,19.5,2670,12.6,5.8
1600,TACHI S,Japan,Automobiles & Parts,32.5,17.1,20.5,2.1,1512.6,0.9,0.1,59.2,78.1,62.8,3.9,9.2,-77.9,-51.2,0.6,7631,19.7,7.9
1601,NATIONAL CENTRAL COOLING,United Arab Emirates,Construction & Materials,32.5,30.8,   ,14.9,217.2,-2.5,2.4,0.6,29.9,-25.1,0.3,84.5,4.2,10.8,38.9,550,129.2,-16.8
1602,SPX,US,Industrial Engineering,32.4,-16.3,-15.0,0.9,3420.5,-2.4,4.8,39.8,-32.6,-8.2,1.2,263.4,-407.3,1.1,7.7,14000,-6.7,-3.3
1603,PRIMAX ELECTRONICS,Taiwan,Technology Hardware & Equipment,32.3,1.1,-1.2,3.2,1021.5,-1.9,1.0,20.9,-11.6,-13.5,2.0,17.7,-54.4,-25.1,1.7,,-100.0,-100.0
1604,MANHATTAN ASSOCIATES,US,Software & Computer Services,32.3,-0.3,3.2,10.7,300.6,10.2,11.7,3.4,-39.8,-6.9,1.1,73.4,26.5,34.2,24.4,2530,5.4,9.5
1605,ASHOK LEYLAND,India,Automobiles & Parts,32.3,-25.7,10.4,2.5,1267.4,-11.3,-0.7,47.8,-37.1,5.0,3.8,-59.7,-194.3,  ,-4.7,11552,-21.2,-9.9
1606,CHINA AVIC ELECTRONICS,China,Automobiles & Parts,32.3,63.6,199.6,4.6,694.5,7.9,90.9,72.7,43.5,153.7,10.5,91.2,-9.7,59.3,13.1,14144,27.0,109.1
1607,TEBIAN ELECTRIC APPARATUS STOCK,China,Electronic & Electrical Equipment,32.2,16.5,8.3,1.0,3324.0,42.8,17.8,312.0,-50.2,6.6,9.4,231.7,77.6,1.7,7.0,14570,1.6,7.8
1608,EXFO,Canada,Technology Hardware & Equipment,32.2,-7.5,5.5,18.3,175.6,-3.1,6.1,5.8,-66.3,-3.6,3.3,2.0,457.5,-36.3,1.2,,   ,-100.0
1609,INDUSTRIAL AND FINANCIAL SYSTEMS,Sweden,Software & Computer Services,32.2,-1.7,5.3,10.4,309.3,2.4,2.0,3.5,29.2,4.7,1.1,24.6,9.0,-0.5,8.0,2616,-3.9,-0.7
1610,LUDWIG KROHNE,Germany,Industrial Engineering,32.2,18.4,13.7,7.8,411.0,7.1,11.2,,   ,   ,0.0,37.6,3.1,33.1,9.1,3035,44.8,7.0
1611,ZILLOW,US,Real Estate Investment & Services,32.1,64.5,62.8,22.4,143.2,69.1,86.5,18.8,29.4,67.5,13.1,-12.3,-392.4,35.3,-8.6,817,45.9,   
1612,ISEKI,Japan,Industrial Engineering,32.1,9.0,6.3,2.8,1164.6,8.6,4.6,68.4,59.8,22.8,5.9,50.2,42.2,38.5,4.3,6295,-0.5,-0.6
1613,INSMED,US,Pharmaceuticals & Biotechnology,32.1,48.7,110.4,385.0,8.3,   ,18.4,0.6,184.8,   ,7.2,-39.9,29.6,89.4,-478.4,61,48.8,59.6
1614,SUMCO,Japan,Technology Hardware & Equipment,32.1,-0.5,-11.6,2.5,1274.7,-10.4,-12.6,57.8,-48.4,-13.7,4.5,122.6,34.7,  ,9.6,7277,-7.6,-8.4
1615,BRAINLAB,Germany,Health Care Equipment & Services,32.1,36.1,14.9,14.6,219.5,9.3,6.5,,   ,   ,0.0,18.0,-10.4,-0.5,8.2,1059,8.7,3.6
1616,SANYO CHEMICAL INDUSTRIES,Japan,Chemicals,32.1,3.3,-1.9,2.8,1137.5,15.8,6.7,59.1,-22.4,-3.0,5.2,53.3,25.0,-5.7,4.7,1270,-31.9,-10.4
1617,NIHON UNISYS,Japan,Software & Computer Services,32.1,-4.2,-5.5,1.6,1946.6,5.0,3.8,20.9,-20.6,-3.0,1.1,54.9,14.2,9.8,2.8,8486,-3.8,-3.4
1618,ENRICHMENT TECHNOLOGY,UK,Industrial Engineering,32.1,40.5,15.3,3.8,844.6,21.5,43.8,,   ,   ,0.0,-109.3,-440.8,-2.0,-12.9,2095,-2.6,6.3
