EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
2253,MAXWELL TECHNOLOGIES,US,General Industrials,21.7,16.8,0.3,153.7,-3.6,9.6,14.1,5.7,-58.6,5.2,3.7,-0.7,-109.4,226.7,-0.5,471,15.7,-2.2
2254,DYAX,US,Pharmaceuticals & Biotechnology,21.6,61.2,22.7,67.3,51.5,3.4,32.1,0.5,9.1,-33.1,0.7,-1.0,-92.8,-11.6,-1.5,124,3.3,0.0
2255,SYNACOR,US,Software & Computer Services,21.6,-7.7,12.1,87.8,-4.7,7.1,24.6,4.1,-15.8,47.4,4.7,-6.4,998.7,,-7.3,258,-24.8,9.7
2256,SHANGHAI WANGSU SCIENCE AND TECHNOLOGY,China,Software & Computer Services,21.6,91.9,50.4,253.2,61.3,30.4,8.5,19.8,0.7,30.6,7.8,60.7,89.9,79.0,24.0,"1,654",43.0,18.5
2257,SOLARWORLD,Germany,Alternative Energy,21.6,12.1,-6.0,573.4,25.8,-24.2,3.8,12.4,-48.9,-48.9,2.2,20.1,-121.6,-33.5,3.5,"2,730",31.7,-8.4
2258,LINDENGRUPPEN,Sweden,General Industrials,21.6,16.0,-1.3,707.1,6.9,1.9,3.1,,,,0.0,35.2,-73.9,102.8,5.0,"3,106",0.0,-1.2
2259,CHROMA ATE,Taiwan,Electronic & Electrical Equipment,21.6,16.4,2.6,267.9,1.3,-10.4,8.1,2.5,-22.9,-15.3,0.9,36.9,11.1,-10.1,13.8,,,-100.0
2260,F.C.C. CO,Japan,Automobiles & Parts,21.6,-0.2,2.6,"1,054.1",6.6,7.4,2.0,129.0,18.5,18.7,12.2,58.1,-37.6,7.2,5.5,"7,603",5.4,6.7
2261,FAIRFORD EUROPE,Sweden,Support Services,21.6,17.1,9.1,436.0,11.4,4.8,5.0,,,,0.0,15.0,22.3,10.8,3.4,"2,018",7.3,5.2
2262,PLATFORM SPECIALTY PRODUCTS,US,Chemicals,21.6,555.8,-44.2,694.5,613.1,-45.5,3.1,15.2,717.5,-36.3,2.2,10.3,-106.4,,1.5,"2,500",25.0,
2263,FUEL SYSTEMS SOLUTIONS,US,Industrial Engineering,21.6,-4.9,-0.7,279.3,-15.2,-1.5,7.7,11.3,44.4,-7.8,4.0,-44.7,"-1,329.7",-28.0,-16.0,"1,500",-11.8,0.0
2264,COMET,Switzerland,Electronic & Electrical Equipment,21.6,5.4,5.1,239.7,15.3,4.8,9.0,7.8,92.8,-8.3,3.3,24.7,18.3,19.5,10.3,986,8.2,7.5
2265,TOA,Japan,Technology Hardware & Equipment,21.6,1.8,2.5,308.3,6.5,5.7,7.0,3.1,11.1,-9.5,1.0,29.0,-0.4,7.8,9.4,"3,079",1.6,1.3
2266,CHINA AEROSPACE TIMES ELECTRONICS,China,Aerospace & Defence,21.5,67.6,0.7,651.4,18.6,5.8,3.3,37.2,-37.8,1.8,5.7,50.4,7.9,9.0,7.7,"8,440",4.4,-0.8
2267,SAMSONITE,Luxembourg,Household Goods & Home Construction,21.5,16.8,18.6,"1,936.2",15.4,9.2,1.1,57.4,21.7,15.5,3.0,246.5,6.4,11.1,12.7,"8,900",10.1,
2268,GUANGZHOU GUANGRI STOCK,China,Industrial Metals & Mining,21.5,14.8,,603.2,11.2,-12.8,3.6,41.1,19.0,110.9,6.8,51.6,18.3,,8.5,"2,624",14.3,-15.1
2269,KOREA LAND & HOUSING,South Korea,Real Estate Investment & Services,21.5,59.8,13.8,"15,915.6",16.2,6.2,0.1,,,,0.0,833.1,34.0,-8.7,5.2,,,
2270,TRINET GROUP,US,Support Services,21.5,30.8,8.4,"1,806.7",33.4,25.1,1.2,16.9,92.3,14.3,0.9,71.5,30.8,42.0,4.0,"2,057",15.4,
2271,DHI GROUP,US,Support Services,21.5,16.3,29.6,216.3,23.0,6.0,9.9,7.2,-17.5,10.7,3.3,38.5,59.0,-20.3,17.8,831,10.1,24.0
2272,MIRATI THERAPEUTICS,US,Pharmaceuticals & Biotechnology,21.5,31.7,37.6,,,-100.0,,0.3,89.2,35.9,,-31.9,25.2,60.4,,33,,
2273,HANGZHOU STEAM TURBINE,China,Industrial Engineering,21.5,109.7,31.4,495.6,-26.5,3.8,4.3,11.7,-73.0,25.8,2.4,77.8,-32.4,-5.0,15.7,"3,888",2.0,0.0
2274,NANTONG FUJITSU MICROELECTRONICS,China,Technology Hardware & Equipment,21.5,82.2,-7.4,279.4,18.0,3.1,7.7,89.3,455.6,-41.5,32.0,13.0,5.9,39.6,4.7,"4,725",7.5,-0.7
2275,R STAHL,Germany,Electronic & Electrical Equipment,21.5,6.7,4.5,308.5,1.4,7.8,7.0,12.8,-25.3,53.0,4.2,12.1,-51.6,19.8,3.9,"1,942",4.8,6.3
2276,ZUKEN,Japan,Electronic & Electrical Equipment,21.4,11.2,2.6,145.4,7.7,2.7,14.7,1.6,-33.3,5.7,1.1,6.9,60.5,-10.7,4.7,"1,200",2.5,-0.9
2277,TG THERAPEUTICS,US,Pharmaceuticals & Biotechnology,21.4,90.3,246.9,0.1,0.0,, ,0.0,227.0,,12.2,-45.9,142.6,196.4, ,24,300.0,6.3
2278,MITSUBISHI PENCIL,Japan,Household Goods & Home Construction,21.4,7.1,2.4,412.0,8.0,3.1,5.2,10.7,30.1,3.9,2.6,70.3,23.1,9.3,17.1,"3,573",32.5,-1.3
2279,OM,US,Chemicals,21.4,-1.1,2.0,879.3,-7.8,-6.6,2.4,28.4,-35.0,1.8,3.2,-136.0,-501.7,9.6,-15.5,"6,200",5.1,-5.8
2280,THULE,Sweden,Automobiles & Parts,21.4,-6.5,9.2,596.8,-1.7,11.4,3.6,16.8,64.6,-3.6,2.8,29.0,-5.6,-17.8,4.9,"2,128",-32.2,-0.1
2281,SINO AMERICAN SILICON PRODUCTS,Taiwan,Technology Hardware & Equipment,21.4,18.3,8.1,723.2,25.2,8.2,3.0,34.9,-19.8,-18.1,4.8,40.2,142.2,-9.9,5.6,,,-100.0
2282,PALFINGER,Austria,Industrial Engineering,21.4,8.2,17.8,"1,063.4",8.4,5.1,2.0,60.8,58.2,16.3,5.7,69.0,-9.7,21.8,6.5,"8,893",29.4,4.4
2283,GENIUS ELECTRONIC OPTICAL,Taiwan,Electronic & Electrical Equipment,21.4,13.5,23.4,269.3,8.0,4.4,7.9,30.3,-43.6,-10.2,11.2,-20.0,53.8,,-7.4,,,-100.0
2284,SILICON WORKS,South Korea,Electronic & Electrical Equipment,21.4,13.7,0.7,292.7,-4.8,10.8,7.3,3.6,0.6,9.0,1.2,26.7,7.4,10.2,9.1,,,
2285,ZHEJIANG TRANSFAR,China,Chemicals,21.3,21.4,18.0,668.7,23.4,12.2,3.2,10.2,-61.8,25.0,1.5,62.8,36.1,17.5,9.4,"2,595",21.1,20.7
2286,KATAKURA INDUSTRIES,Japan,Personal Goods,21.3,7.4,-5.0,303.3,-7.2,0.1,7.0,43.1,33.8,37.3,14.2,1.6,-83.5,-11.6,0.5,"1,404",-0.9,-0.5
2287,HISTOGENICS CORPORATION,US,Pharmaceuticals & Biotechnology,21.3,116.6,22.9,,-100.0,-59.8,,2.7,449.8,197.2,,-26.9,93.9,12.2,,42,,
2288,CEVA,US,Mobile telecommunications,21.3,21.7,-0.5,41.8,3.9,-6.7,50.8,1.2,58.4,31.5,2.8,1.2,-69.3,-36.5,2.9,242,16.9,2.4
2289,KEMET,US,Electronic & Electrical Equipment,21.3,5.5,-6.0,678.0,-1.3,-3.4,3.1,18.3,-30.8,-13.3,2.7,29.2,-965.6,,4.3,"9,225",-4.2,-0.3
2290,TYLER TECHNOLOGIES,US,Software & Computer Services,21.2,10.6,12.3,406.1,18.4,10.4,5.2,7.7,-65.2,29.8,1.9,78.1,41.3,13.0,19.2,"2,856",11.0,7.2
2291,GUANGDONG HAID,China,Food Producers,21.2,-12.0,25.2,"2,833.8",17.6,14.4,0.7,72.5,-27.2,-5.5,2.6,105.9,77.8,0.1,3.7,"10,670",1.9,17.7
2292,ESI,France,Software & Computer Services,21.2,10.6,4.4,111.0,1.6,5.1,19.1,1.0,-34.2,-11.8,0.9,8.4,35.6,-14.1,7.5,"1,003",-2.2,6.1
2293,DBV TECHNOLOGIES,France,Pharmaceuticals & Biotechnology,21.1,21.7,,4.8,24.5,,444.0,0.9,-13.7,,19.8,-24.6,23.5,,-517.3,56,64.7,
2294,NQ MOBILE,China,Mobile telecommunications,21.1,47.1,50.7,273.7,68.9,69.1,7.7,3.1,135.3,-11.2,1.1,-66.7,"1,699.4",,-24.4,"1,426",15.7,47.1
2295,ICOM,Japan,Technology Hardware & Equipment,21.1,-4.3,6.6,180.2,0.4,3.7,11.7,5.4,-2.5,2.4,3.0,17.1,13.4,19.1,9.5,"1,064",-0.6,0.7
2296,THE9,China,Travel & Leisure,21.0,-26.4,0.0,8.7,-38.7,-0.5,243.1,0.6,-39.5,-26.2,6.6,-43.9,-38.5,11.4,-507.5,498,-18.5,-11.3
2297,ILI TECHNOLOGY CORPORATION,Taiwan,Software & Computer Services,21.0,15.0,0.4,261.2,4.4,,8.0,5.0,215.7,,1.9,12.5,98.7,,4.8,,,
2298,ALPHA AND OMEGA SEMICONDUCTOR,US,Technology Hardware & Equipment,21.0,-9.4,-1.5,270.1,3.1,-2.4,7.8,17.7,128.8,-36.3,6.6,-3.1,"1,864.3",,-1.2,"2,780",1.1,-3.9
2299,ESCO TECHNOLOGIES,US,Electronic & Electrical Equipment,21.0,-37.8,-4.9,437.5,8.4,2.8,4.8,17.6,-4.2,9.8,4.0,53.9,12.5,6.1,12.3,"2,103",-19.7,1.8
2300,VERISK ANALYTICS,US,Nonlife Insurance,21.0,19.1,11.7,"1,438.7",9.5,10.2,1.5,120.9,0.6,34.6,8.4,544.0,7.5,8.7,37.8,"6,550",-7.7,9.5
2301,COSMO OIL,Japan,Oil & Gas Producers,21.0,-5.9,-4.8,"20,726.7",-14.2,4.4,0.1,,,,0.0,-281.9,-205.6,-13.9,-1.4,"6,359",-2.0,1.3
2302,TRANSMODE,Sweden,Technology Hardware & Equipment,21.0,10.1,12.3,99.0,-9.6,3.9,21.2,,,,0.0,8.0,-50.3,1.0,8.1,281,-1.1,7.6
2303,CREATIVE TECHNOLOGY,Singapore,Technology Hardware & Equipment,21.0,-10.1,-24.7,95.8,-29.6,-10.6,21.9,0.2,-78.1,-50.2,0.2,-22.8,91.7,-42.9,-23.8,,,
2304,HIWIN TECHNOLOGIES,Taiwan,General Industrials,21.0,44.8,27.7,392.2,21.3,-7.7,5.4,19.1,-65.5,-20.5,4.9,75.6,18.5,-19.0,19.3,,,-100.0
2305,MIZUNO,Japan,Personal Goods,21.0,-11.5,18.2,"1,277.2",2.1,5.7,1.6,16.6,72.4,13.1,1.3,34.5,-11.2,1.2,2.7,"5,365",1.5,0.3
2306,AKEBIA THERAPEUTICS,US,Pharmaceuticals & Biotechnology,20.9,135.6,-6.0,,,,,0.2,"1,060.6",-31.4,,-31.2,138.1,0.8,,41,46.4,
2307,SUMITOMO OSAKA CEMENT,Japan,Construction & Materials,20.9,-12.6,-3.4,"1,601.3",-0.2,2.7,1.3,116.3,-3.8,5.3,7.3,135.4,-6.8,41.4,8.5,"2,844",0.8,0.6
2308,ARUP,UK,Construction & Materials,20.9,6.0,3.5,"1,347.6",1.7,2.2,1.6,,,,0.0,44.8,47.2,-1.3,3.3,"11,355",4.9,2.9
2309,CHANGYUAN,China,Electronic & Electrical Equipment,20.9,24.8,35.7,442.0,18.4,13.2,4.7,31.2,17.7,9.6,7.0,52.5,18.3,4.8,11.9,"5,573",2.5,5.2
2310,ESPERION THERAPEUTICS,US,Pharmaceuticals & Biotechnology,20.8,58.0,27.1,,,,,0.7,"2,682.9",-2.3,,-29.8,59.2,30.8,,21,31.3,
2311,ENERGIZER,US,Electronic & Electrical Equipment,20.8,-14.8,,"1,515.9",-8.5,,1.4,23.4,59.6,,1.5,256.5,-12.0,,16.9,,,
2312,PIXELWORKS,US,Technology Hardware & Equipment,20.8,22.4,-3.4,50.2,26.6,-9.4,41.5,2.4,24.8,-5.7,4.7,-7.4,10.0,1.4,-14.7,220,-1.3,-2.7
2313,SHAN DONG SUN PAPER INDUSTRY JOINT STOCK,China,General Industrials,20.8,373.6,20.6,"1,386.1",-4.3,7.6,1.5,262.1,106.3,-29.2,18.9,169.9,23.3,3.1,12.3,"6,206",1.7,-1.9
2314,MANZ AUTOMATION,Germany,Industrial Engineering,20.8,6.6,-7.3,305.9,14.9,3.4,6.8,14.5,23.8,-22.8,4.7,-26.4,"4,059.1",-60.1,-8.6,"1,909",3.0,-0.8
2315,ACINO HOLDING,Switzerland,Pharmaceuticals & Biotechnology,20.7,5.8,12.3,262.4,2.1,26.3,7.9,,,,0.0,-11.6,-282.4,,-4.4,,-100.0,23.6
2316,GILAT SATELLITE NETWORKS,Israel,Technology Hardware & Equipment,20.7,-9.8,-4.2,193.7,0.1,-11.5,10.7,10.4,210.9,-23.1,5.4,4.1,-223.1,-30.8,2.1,936,-4.6,-10.2
2317,AUGUST,UK,Electronic & Electrical Equipment,20.7,32.1,,263.1,75.1,,7.9,,,,0.0,16.2,219.8,,6.2,"1,133",8.0,
2318,IMPRIVATA,US,Software & Computer Services,20.7,28.2,35.5,79.9,36.4,19.7,25.9,2.6,-6.6,82.1,3.3,-13.1,186.8,,-16.3,378,,
2319,YANGTZE OPTICAL FIBRE AND CABLE JOINT STOCK,China,Telecommunications,20.7,-10.3,-4.7,764.1,17.6,4.9,2.7,24.3,48.2,28.1,3.2,73.9,11.3,17.3,9.7,"1,805",2.0,5.1
2320,OREXO,Sweden,Pharmaceuticals & Biotechnology,20.7,-17.5,7.5,60.7,32.8,29.1,34.1,7.6,-33.3,183.1,12.6,-4.9,-67.5,-28.8,-8.1,108,1.9,-1.2
2321,KONGZHONG,China,Software & Computer Services,20.7,-4.9,19.6,187.5,26.8,4.7,11.0,2.6,-37.2,38.0,1.4,14.8,31.5,,7.9,"1,091",-5.4,6.3
2322,ALCOBRA,Israel,Pharmaceuticals & Biotechnology,20.7,255.3,57.1,,,,,0.1,102.6,17.6,,-27.2,221.5,38.1,,,,
2323,SUNWODA ELECTRONICS,China,Electronic & Electrical Equipment,20.7,117.6,23.3,574.0,94.2,29.0,3.6,37.0,74.7,22.0,6.4,34.4,106.5,8.4,6.0,"9,877",57.4,22.7
2324,UPLAND SOFTWARE,US,Software & Computer Services,20.6,157.0,,53.2,56.8,,38.8,0.7,227.4,,1.3,-13.3,411.7,,-25.0,362,,
2325,CARBONITE,US,Software & Computer Services,20.6,19.7,8.2,101.0,14.4,21.0,20.4,11.9,47.9,-10.2,11.8,-6.4,-23.5,-24.3,-6.4,589,35.7,6.0
2326,EP ENERGY,US,Oil & Gas Producers,20.6,-39.0,,"2,540.2",95.7,-5.5,0.8,,,,0.0,"1,298.9",310.7,-16.6,51.1,,,
2327,ORTHOFIX,The Netherlands,Health Care Equipment & Services,20.6,-6.6,5.4,331.3,1.2,-11.8,6.2,14.9,-27.1,-0.2,4.5,14.1,-295.3,,4.3,922,3.7,-15.9
2328,DAEWOONG,South Korea,Pharmaceuticals & Biotechnology,20.6,-6.8,38.4,669.8,6.0,42.0,3.1,45.9,137.0,-6.9,6.9,58.9,-19.1,23.7,8.8,,,
2329,WRIGHT MEDICAL,US,Health Care Equipment & Services,20.6,22.9,-12.3,245.5,23.0,4.8,8.4,,,,0.0,-65.7,-67.8,,-26.8,"1,180",31.4,-11.4
2330,COMBA TELECOM SYSTEMS HOLDINGS,China,Technology Hardware & Equipment,20.5,-6.8,-17.0,715.1,17.7,-3.4,2.9,6.0,8.7,-43.2,0.8,38.3,"-1,275.0",,5.4,"8,400",-12.5,-5.8
2331,MESOBLAST,Australia,Pharmaceuticals & Biotechnology,20.5,60.1,,13.8,24.8,-16.0,147.9,1.7,32.3,-2.0,12.0,-75.7,36.4,12.4,-547.3,115,0.0,
2332,ZIBO QIXIANG TENGDA CHEMICAL,China,Chemicals,20.4,54.1,17.2,688.6,36.8,10.6,3.0,36.2,-27.7,14.2,5.3,57.6,27.3,-18.1,8.4,"1,580",8.3,17.2
2333,ANHUI ZHONGDING SEALING PARTS,China,Automobiles & Parts,20.4,11.1,18.8,641.3,21.2,10.4,3.2,30.1,13.7,-4.7,4.7,104.5,44.0,6.8,16.3,"12,273",260.4,-5.4
2334,MTS SYSTEMS,US,Electronic & Electrical Equipment,20.4,8.5,7.3,464.8,-0.9,6.8,4.4,16.5,-32.5,43.0,3.6,49.6,-24.6,3.0,10.7,"2,180",-5.2,4.7
2335,ZHEJIANG DUN AN ARTIFICIAL ENVIRONMENT EQUIPMENT,China,Industrial Engineering,20.4,5.4,-8.4,759.0,9.1,2.9,2.7,132.6,49.1,-21.3,17.5,36.7,48.2,-21.8,4.8,"9,374",-0.6,-1.1
2336,SOPHIRIS BIO,Canada,Pharmaceuticals & Biotechnology,20.4,140.4,5.9,,-100.0,,,0.0,200.0,-77.5,,-24.7,221.1,-11.1,,,,
2337,AMPHASTAR PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,20.3,-17.0,0.5,173.3,-8.4,24.7,11.7,15.4,5.8,20.9,8.9,-14.8,-202.8,,-8.5,"1,361",7.8,
2338,ACE TECHNOLOGIES,South Korea,Technology Hardware & Equipment,20.3,45.6,189.4,320.3,35.5,26.8,6.3,14.4,-11.0,11.1,4.5,18.8,25.3,,5.9,,,
2339,MBDA,UK,Aerospace & Defence,20.3,17.0,3.4,"1,005.7",10.0,13.2,2.0,,,,0.0,108.0,-14.6,,10.7,"2,744",2.8,0.3
2340,DAKTRONICS,US,Electronic & Electrical Equipment,20.3,5.5,-0.2,507.3,11.6,4.1,4.0,18.0,61.5,-6.5,3.5,25.8,-14.4,52.7,5.1,"2,750",3.0,-1.8
2341,OXFORD BIOMEDICA,UK,Pharmaceuticals & Biotechnology,20.3,42.8,-8.1,17.5,153.4,-11.4,115.9,7.2,564.7,-38.7,41.0,-13.9,-16.2,-3.6,-79.6,113,18.9,3.4
2342,NORITAKE,Japan,Construction & Materials,20.3,9.1,-3.6,676.2,11.7,-4.6,3.0,32.4,-26.5,17.3,4.8,14.5,178.3,-24.3,2.1,"5,089",24.5,-16.5
2343,EASTERN COMMUNICATIONS,China,Technology Hardware & Equipment,20.3,11.5,-1.2,482.1,7.1,3.7,4.2,5.7,168.2,-8.7,1.2,8.5,3.5,10.2,1.8,"3,038",1.6,2.6
2344,SYNERON MEDICAL,Israel,Health Care Equipment & Services,20.3,-17.9,2.8,210.6,-0.5,4.0,9.6,2.3,-24.9,20.0,1.1,-1.8,-56.7,-32.6,-0.9,659,6.1,0.9
2345,CK LIFE SCIENCES,China,Pharmaceuticals & Biotechnology,20.3,-15.4,15.7,526.1,-0.3,12.3,3.9,15.0,0.9,-9.7,2.8,44.1,5.5,7.9,8.4,"1,675",3.5,11.9
2346,HANGZHOU BOILER,China,Industrial Engineering,20.3,-19.3,35.1,417.6,-47.4,15.1,4.9,28.2,19.3,-13.2,6.7,38.6,-41.6,3.6,9.2,"2,014",-4.7,-3.7
2347,HWASEUNG R & A,South Korea,Automobiles & Parts,20.3,24.8,19.2,"1,271.2",3.9,6.6,1.6,58.2,-5.2,2.7,4.6,65.8,20.0,18.0,5.2,,,
2348,SANOH INDUSTRIAL,Japan,Automobiles & Parts,20.2,23.9,9.8,891.8,24.7,11.3,2.3,54.9,6.2,8.6,6.2,39.6,26.8,10.5,4.4,"7,808",4.9,12.0
2349,ACELRX PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,20.2,-6.7,24.5,4.3,-82.3,201.9,470.0,4.5,67.5,17.6,105.5,-31.0,464.7,-29.9,-721.7,50,85.2,8.7
2350,PHOENIX NEW MEDIA,China,Media,20.2,38.0,16.3,220.5,15.0,14.4,9.2,4.8,21.0,-4.4,2.2,32.0,-4.3,42.5,14.5,"1,969",18.2,
2351,VICTREX,UK,Chemicals,20.2,7.5,11.6,324.7,13.8,0.9,6.2,84.3,61.2,65.4,26.0,133.1,9.8,0.2,41.0,681,5.7,5.3
2352,VARITRONIX,China,Electronic & Electrical Equipment,20.2,1.7,13.2,277.5,0.3,6.9,7.3,7.5,-40.3,39.8,2.7,31.6,19.8,13.3,11.4,"4,831",-0.6,4.4
2353,METHODE ELECTRONICS,US,Electronic & Electrical Equipment,20.2,-4.7,8.1,725.7,14.0,18.4,2.8,18.5,-22.4,4.0,2.6,92.4,52.4,93.5,12.7,"4,295",-5.9,13.3
2354,BITTIUM,Finland,Electronic & Electrical Equipment,20.1,8.9,-8.4,224.1,12.5,7.1,9.0,3.6,-9.0,26.6,1.6,17.0,108.1,,7.6,483,-75.5,7.0
2355,MINERALS TECHNOLOGIES,US,Industrial Metals & Mining,20.1,21.7,1.2,"1,420.8",69.4,-0.5,1.4,67.4,86.6,-5.6,4.7,188.5,84.0,6.3,13.3,"4,464",125.7,-1.6
2356,SBI HOLDINGS,Japan,Financial Services,20.1,12.3,69.1,"1,589.6",51.7,2.8,1.3,,,,0.0,430.1,189.1,39.2,27.1,"5,352",6.9,13.8
2357,FUTABA INDUSTRIAL,Japan,Automobiles & Parts,20.1,13.7,5.3,"2,887.1",5.9,2.4,0.7,188.4,40.3,13.2,6.5,29.8,696.9,-35.4,1.0,"10,193",4.2,-0.1
2358,ARCTIC CAT,US,Industrial Engineering,20.0,1.4,10.3,575.5,-4.3,7.7,3.5,18.3,-8.9,17.6,3.2,5.4,-89.2,9.6,0.9,"1,670",3.7,5.6
2359,HODOGAYA CHEMICAL,Japan,Chemicals,20.0,-8.6,23.9,236.8,-2.8,0.5,8.5,2.3,-87.8,-0.8,1.0,5.4,-268.9,,2.3,713,-5.9,1.1
2360,MILACRON HOLDINGS,US,Industrial Engineering,20.0,27.9,,997.7,17.7,9.5,2.0,34.1,38.0,,3.4,81.6,46.6,-4.2,8.2,"5,368",,
2361,AURELIUS,Germany,Support Services,20.0,,,"1,531.8",13.8,7.7,1.3,60.1,-2.8,-7.0,3.9,65.9,"1,240.3",,4.3,"12,442",12.0,18.8
2362,SIHUAN PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,20.0,77.7,34.5,415.2,19.2,4.9,4.8,40.6,-64.3,94.8,9.8,205.6,49.8,1.0,49.5,"2,797",9.3,17.3
2363,VALIO,Finland,Food Producers,20.0,11.1,4.0,"2,029.1",1.5,3.1,1.0,,,,0.0,85.7,24.3,2.1,4.2,"4,613",0.3,1.5
2364,CAP GEMINI,France,Software & Computer Services,20.0,5.3,46.8,"10,573.0",4.8,1.4,0.2,150.0,4.9,-3.3,1.4,"1,107.0",15.8,6.4,10.5,"143,643",9.3,3.2
2365,CKD,Japan,Industrial Engineering,20.0,8.0,8.0,569.3,10.4,1.2,3.5,39.5,53.8,9.7,6.9,57.1,6.1,9.1,10.0,"3,294",4.0,-1.0
2366,PFEIFFER VACUUM TECHNOLOGY,Germany,Industrial Engineering,20.0,5.9,8.7,406.6,-0.5,-7.7,4.9,10.0,-2.6,-20.9,2.5,40.9,-19.5,-5.5,10.1,"2,258",1.0,-0.8
2367,BIOALLIANCE PHARMA,France,Pharmaceuticals & Biotechnology,20.0,100.2,8.1,22.1,"1,405.1",-23.1,90.5,0.0,-96.6,-27.9,0.0,-0.5,-96.8,1.1,-2.2,55,7.8,-1.3
2368,TREND MICRO,Japan,Software & Computer Services,20.0,-30.1,6.4,786.5,6.4,4.0,2.5,13.9,11.0,-10.8,1.8,229.8,14.3,3.8,29.2,"5,258",0.8,1.8
2369,LONG CHEN PAPER,Taiwan,Forestry & Paper,19.9,22.6,236.3,714.5,13.1,-1.6,2.8,18.6,-60.6,-7.7,2.6,60.7,30.7,15.2,8.5,,-100.0,1.6
2370,GUANGZHOU ECHOM SCIENCE & TECHNOLOGY,China,General Industrials,19.9,-5.9,28.8,397.6,18.4,8.9,5.0,28.8,16.8,-19.0,7.2,6.1,-168.3,,1.5,"4,858",-3.5,4.3
2371,SONOCO PRODUCTS,US,General Industrials,19.9,20.4,2.2,"4,132.3",3.2,2.6,0.5,145.8,2.7,-0.2,3.5,330.2,7.1,1.4,8.0,"20,800",4.5,0.5
2372,BITAUTO,China,Software & Computer Services,19.9,41.8,41.8,331.0,70.8,29.0,6.0,6.5,64.6,19.8,2.0,72.4,114.5,51.2,21.9,"2,908",31.3,8.4
2373,ASCENT SOLAR TECHNOLOGIES,US,Electronic & Electrical Equipment,19.9,14.4,2.9,4.4,305.3,-30.7,453.4,0.1,-74.1,-62.3,2.5,-27.9,19.9,-35.5,-634.6,119,4.4,14.0
2374,GORENJE,Slovenia,Household Goods & Home Construction,19.9,29.6,46.0,"1,245.6",0.4,-4.5,1.6,40.4,-33.7,14.0,3.2,55.5,-11.1,30.5,4.5,"10,242",-1.4,-1.0
2375,HCL TECHNOLOGIES,India,Software & Computer Services,19.9,-3.3,12.6,"4,180.4",25.7,17.6,0.5,93.6,16.3,-7.6,2.2,965.7,46.5,32.9,23.1,"73,528",-14.0,3.5
2376,GIANT MANUFACTURING,Taiwan,General Industrials,19.9,65.5,-7.8,"1,560.9",10.4,4.7,1.3,16.5,-27.6,-23.4,1.1,135.5,18.9,5.7,8.7,,,-100.0
2377,SONIX TECHNOLOGY,Taiwan,Technology Hardware & Equipment,19.9,3.1,7.0,92.4,-2.4,0.3,21.5,0.8,-37.6,66.1,0.8,15.1,-8.3,-3.1,16.4,,,-100.0
2378,SAGE THERAPEUTICS,US,Pharmaceuticals & Biotechnology,19.9,67.9,,,,,,0.1,"4,166.6",,,-27.8,85.0,,,31,,
2379,VENTURE,Singapore,Electronic & Electrical Equipment,19.8,1.9,-2.6,"1,536.7",5.9,-1.4,1.3,35.3,62.4,6.4,2.3,93.2,14.2,-5.2,6.1,,,
2380,ANA PASS,South Korea,Leisure Goods,19.8,35.6,15.7,100.4,47.1,-3.3,19.7,4.1,-43.2,35.8,4.1,17.4,87.7,-12.3,17.3,102,20.0,13.6
2381,NEW RELIC,US,Software & Computer Services,19.8,45.6,56.5,90.9,74.7,75.6,21.8,10.4,29.4,132.7,11.4,-41.1,26.6,74.1,-45.2,661,,
2382,DEPO AUTO PARTS INDUSTRIAL,Taiwan,Automobiles & Parts,19.8,1.3,7.4,382.4,7.9,4.3,5.2,18.3,-63.5,-4.7,4.8,52.2,10.3,8.6,13.6,,,-100.0
2383,PAREXEL,US,Pharmaceuticals & Biotechnology,19.8,-10.8,8.6,"1,919.3",2.8,11.9,1.0,66.0,10.4,-0.8,3.4,191.1,14.6,29.1,10.0,"18,660",19.9,7.0
2384,SORRENTO THERAPEUTICS,US,Pharmaceuticals & Biotechnology,19.8,166.0,56.1,3.2,731.3,-4.6, ,0.5,40.6,-26.3,15.5,-28.6,60.3,88.4, ,66,32.0,56.7
2385,SHIROKI,Japan,Automobiles & Parts,19.7,0.7,1.9,562.9,4.4,-2.4,3.5,,,,0.0,5.8,67.3,-44.6,1.0,"1,576",-0.3,-0.7
2386,FIVE PRIME THERAPEUTICS,US,Pharmaceuticals & Biotechnology,19.7,26.1,,15.8,39.4,-40.3,124.5,1.4,103.6,-5.9,8.5,-30.9,27.7,,-195.4,124,17.0,
